,Kod stanowiska,Data,Wartość,id_stacji,data_dodania
60,DsCzerStraza-O3-1g,2026-05-30 13:00:00,105.4,52,2026-05-30 13:19:16.676753
61,DsCzerStraza-O3-1g,2026-05-30 12:00:00,101.0,52,2026-05-30 13:19:16.676753
62,DsCzerStraza-O3-1g,2026-05-30 11:00:00,92.9,52,2026-05-30 13:19:16.676753
63,DsCzerStraza-O3-1g,2026-05-30 10:00:00,87.9,52,2026-05-30 13:19:16.676753
64,DsCzerStraza-O3-1g,2026-05-30 09:00:00,93.9,52,2026-05-30 13:19:16.676753
65,DsCzerStraza-O3-1g,2026-05-30 08:00:00,95.4,52,2026-05-30 13:19:16.676753
66,DsCzerStraza-O3-1g,2026-05-30 07:00:00,79.3,52,2026-05-30 13:19:16.676753
67,DsCzerStraza-O3-1g,2026-05-30 06:00:00,101.1,52,2026-05-30 13:19:16.676753
68,DsCzerStraza-O3-1g,2026-05-30 05:00:00,108.6,52,2026-05-30 13:19:16.676753
69,DsCzerStraza-O3-1g,2026-05-30 04:00:00,112.2,52,2026-05-30 13:19:16.676753
70,DsCzerStraza-O3-1g,2026-05-30 03:00:00,120.3,52,2026-05-30 13:19:16.676753
71,DsCzerStraza-O3-1g,2026-05-30 02:00:00,118.8,52,2026-05-30 13:19:16.676753
72,DsCzerStraza-O3-1g,2026-05-30 01:00:00,117.9,52,2026-05-30 13:19:16.676753
73,DsCzerStraza-O3-1g,2026-05-30 00:00:00,116.8,52,2026-05-30 13:19:16.676753
74,DsCzerStraza-O3-1g,2026-05-29 23:00:00,114.2,52,2026-05-30 13:19:16.676753
75,DsCzerStraza-O3-1g,2026-05-29 22:00:00,113.7,52,2026-05-30 13:19:16.676753
76,DsCzerStraza-O3-1g,2026-05-29 21:00:00,112.5,52,2026-05-30 13:19:16.676753
77,DsCzerStraza-O3-1g,2026-05-29 20:00:00,111.9,52,2026-05-30 13:19:16.676753
78,DsCzerStraza-O3-1g,2026-05-29 19:00:00,114.8,52,2026-05-30 13:19:16.676753
79,DsCzerStraza-O3-1g,2026-05-29 18:00:00,113.6,52,2026-05-30 13:19:16.676753
80,DsCzerStraza-PM10-1g,2026-05-30 13:00:00,,54,2026-05-30 13:19:16.714846
81,DsCzerStraza-PM10-1g,2026-05-30 12:00:00,20.6,54,2026-05-30 13:19:16.714846
