Kod stanowiska,Data,Wartość,id_stanowisk
DsCzerStraza-PM10-1g,2026-08-31 13:00:00,4.2,54
DsCzerStraza-PM10-1g,2026-08-31 12:00:00,5.0,54
DsCzerStraza-PM10-1g,2026-08-31 11:00:00,5.1,54
DsCzerStraza-PM10-1g,2026-08-31 10:00:00,2.8,54
DsCzerStraza-PM10-1g,2026-08-31 09:00:00,5.3,54
DsCzerStraza-PM10-1g,2026-08-31 08:00:00,5.7,54
DsCzerStraza-PM10-1g,2026-08-31 07:00:00,7.2,54
DsCzerStraza-PM10-1g,2026-08-31 06:00:00,3.6,54
DsCzerStraza-PM10-1g,2026-08-31 05:00:00,4.7,54
DsDziePilsud-PM10-1g,2026-09-01 00:00:00,,101
DsDziePilsud-PM10-1g,2026-08-31 23:00:00,5.7,101
DsDziePilsud-PM10-1g,2026-08-31 22:00:00,2.6,101
DsDziePilsud-PM10-1g,2026-08-31 21:00:00,1.9,101
DsDziePilsud-PM10-1g,2026-08-31 20:00:00,1.4,101
DsDziePilsud-PM10-1g,2026-08-31 19:00:00,1.5,101
DsDziePilsud-PM10-1g,2026-08-31 18:00:00,2.3,101
DsDziePilsud-PM10-1g,2026-08-31 17:00:00,2.6,101
DsDziePilsud-PM10-1g,2026-08-31 16:00:00,3.4,101
DsDziePilsud-PM10-1g,2026-08-31 15:00:00,0.4,101
DsDziePilsud-PM10-1g,2026-08-31 14:00:00,,101
DsDziePilsud-PM10-1g,2026-08-31 13:00:00,3.3,101
DsDziePilsud-PM10-1g,2026-08-31 12:00:00,7.3,101
DsDziePilsud-PM10-1g,2026-08-31 11:00:00,18.2,101
DsDziePilsud-PM10-1g,2026-08-31 10:00:00,22.6,101
DsDziePilsud-PM10-1g,2026-08-31 09:00:00,18.2,101
DsDziePilsud-PM10-1g,2026-08-31 08:00:00,10.3,101
DsDziePilsud-PM10-1g,2026-08-31 07:00:00,10.3,101
DsDziePilsud-PM10-1g,2026-08-31 06:00:00,8.4,101
DsDziePilsud-PM10-1g,2026-08-31 05:00:00,7.2,101
DsKlodzSzkol-NO-1g,2026-09-01 00:00:00,0.4,220
DsKlodzSzkol-NO-1g,2026-08-31 23:00:00,0.4,220
DsKlodzSzkol-NO-1g,2026-08-31 22:00:00,0.5,220
DsKlodzSzkol-NO-1g,2026-08-31 21:00:00,0.3,220
DsKlodzSzkol-NO-1g,2026-08-31 20:00:00,0.2,220
DsKlodzSzkol-NO-1g,2026-08-31 19:00:00,0.4,220
DsKlodzSzkol-NO-1g,2026-08-31 18:00:00,0.5,220
DsKlodzSzkol-NO-1g,2026-08-31 17:00:00,0.7,220
DsKlodzSzkol-NO-1g,2026-08-31 16:00:00,0.9,220
DsKlodzSzkol-NO-1g,2026-08-31 15:00:00,0.8,220
DsKlodzSzkol-NO-1g,2026-08-31 14:00:00,5.1,220
DsKlodzSzkol-NO-1g,2026-08-31 13:00:00,7.1,220
DsKlodzSzkol-NO-1g,2026-08-31 12:00:00,8.7,220
DsKlodzSzkol-NO-1g,2026-08-31 11:00:00,19.5,220
DsKlodzSzkol-NO-1g,2026-08-31 10:00:00,15.7,220
DsKlodzSzkol-NO-1g,2026-08-31 09:00:00,7.6,220
DsKlodzSzkol-NO-1g,2026-08-31 08:00:00,11.9,220
DsKlodzSzkol-NO-1g,2026-08-31 07:00:00,12.9,220
DsKlodzSzkol-NO-1g,2026-08-31 06:00:00,6.1,220
DsKlodzSzkol-NO-1g,2026-08-31 05:00:00,2.9,220
DsKlodzSzkol-NO2-1g,2026-09-01 00:00:00,6.6,221
DsKlodzSzkol-NO2-1g,2026-08-31 23:00:00,9.1,221
DsKlodzSzkol-NO2-1g,2026-08-31 22:00:00,10.6,221
DsKlodzSzkol-NO2-1g,2026-08-31 21:00:00,8.8,221
DsKlodzSzkol-NO2-1g,2026-08-31 20:00:00,4.5,221
DsKlodzSzkol-NO2-1g,2026-08-31 19:00:00,3.5,221
DsKlodzSzkol-NO2-1g,2026-08-31 18:00:00,3.5,221
DsKlodzSzkol-NO2-1g,2026-08-31 17:00:00,3.6,221
DsKlodzSzkol-NO2-1g,2026-08-31 16:00:00,5.6,221
DsKlodzSzkol-NO2-1g,2026-08-31 15:00:00,4.7,221
DsKlodzSzkol-NO2-1g,2026-08-31 14:00:00,12.7,221
DsKlodzSzkol-NO2-1g,2026-08-31 13:00:00,19.3,221
DsKlodzSzkol-NO2-1g,2026-08-31 12:00:00,24.2,221
DsKlodzSzkol-NO2-1g,2026-08-31 11:00:00,20.1,221
DsKlodzSzkol-NO2-1g,2026-08-31 10:00:00,21.1,221
DsKlodzSzkol-NO2-1g,2026-08-31 09:00:00,15.2,221
DsKlodzSzkol-NO2-1g,2026-08-31 08:00:00,12.6,221
DsKlodzSzkol-NO2-1g,2026-08-31 07:00:00,10.3,221
DsKlodzSzkol-NO2-1g,2026-08-31 06:00:00,13.0,221
DsKlodzSzkol-NO2-1g,2026-08-31 05:00:00,12.2,221
DsKlodzSzkol-NOx-1g,2026-09-01 00:00:00,7.2,222
DsKlodzSzkol-NOx-1g,2026-08-31 23:00:00,9.7,222
DsKlodzSzkol-NOx-1g,2026-08-31 22:00:00,11.3,222
DsKlodzSzkol-NOx-1g,2026-08-31 21:00:00,9.3,222
DsKlodzSzkol-NOx-1g,2026-08-31 20:00:00,4.7,222
DsKlodzSzkol-NOx-1g,2026-08-31 19:00:00,4.1,222
DsKlodzSzkol-NOx-1g,2026-08-31 18:00:00,4.3,222
DsKlodzSzkol-NOx-1g,2026-08-31 17:00:00,4.6,222
DsKlodzSzkol-NOx-1g,2026-08-31 16:00:00,7.0,222
DsKlodzSzkol-NOx-1g,2026-08-31 15:00:00,5.9,222
DsKlodzSzkol-NOx-1g,2026-08-31 14:00:00,20.5,222
DsKlodzSzkol-NOx-1g,2026-08-31 13:00:00,30.2,222
DsKlodzSzkol-NOx-1g,2026-08-31 12:00:00,37.5,222
DsKlodzSzkol-NOx-1g,2026-08-31 11:00:00,50.1,222
DsKlodzSzkol-NOx-1g,2026-08-31 10:00:00,45.2,222
DsKlodzSzkol-NOx-1g,2026-08-31 09:00:00,26.9,222
DsKlodzSzkol-NOx-1g,2026-08-31 08:00:00,30.8,222
DsKlodzSzkol-NOx-1g,2026-08-31 07:00:00,30.2,222
DsKlodzSzkol-NOx-1g,2026-08-31 06:00:00,22.3,222
DsKlodzSzkol-NOx-1g,2026-08-31 05:00:00,16.6,222
DsKlodzSzkol-O3-1g,2026-09-01 00:00:00,39.8,223
DsKlodzSzkol-O3-1g,2026-08-31 23:00:00,37.9,223
DsKlodzSzkol-O3-1g,2026-08-31 22:00:00,46.8,223
DsKlodzSzkol-O3-1g,2026-08-31 21:00:00,65.8,223
DsKlodzSzkol-O3-1g,2026-08-31 20:00:00,79.6,223
DsKlodzSzkol-O3-1g,2026-08-31 19:00:00,85.0,223
DsKlodzSzkol-O3-1g,2026-08-31 18:00:00,83.4,223
DsKlodzSzkol-O3-1g,2026-08-31 17:00:00,80.8,223
DsKlodzSzkol-O3-1g,2026-08-31 16:00:00,74.8,223
DsKlodzSzkol-O3-1g,2026-08-31 15:00:00,74.4,223
DsKlodzSzkol-O3-1g,2026-08-31 14:00:00,57.1,223
DsKlodzSzkol-O3-1g,2026-08-31 13:00:00,30.8,223
DsKlodzSzkol-O3-1g,2026-08-31 12:00:00,15.7,223
DsKlodzSzkol-O3-1g,2026-08-31 11:00:00,8.0,223
DsKlodzSzkol-O3-1g,2026-08-31 10:00:00,5.8,223
DsKlodzSzkol-O3-1g,2026-08-31 09:00:00,9.2,223
DsKlodzSzkol-O3-1g,2026-08-31 08:00:00,5.6,223
DsKlodzSzkol-O3-1g,2026-08-31 07:00:00,3.0,223
DsKlodzSzkol-O3-1g,2026-08-31 06:00:00,2.5,223
DsKlodzSzkol-O3-1g,2026-08-31 05:00:00,3.1,223
DsKlodzSzkol-PM10-1g,2026-09-01 00:00:00,9.5,224
DsKlodzSzkol-PM10-1g,2026-08-31 23:00:00,10.1,224
DsKlodzSzkol-PM10-1g,2026-08-31 22:00:00,10.2,224
DsKlodzSzkol-PM10-1g,2026-08-31 21:00:00,7.9,224
DsKlodzSzkol-PM10-1g,2026-08-31 20:00:00,7.0,224
DsKlodzSzkol-PM10-1g,2026-08-31 19:00:00,6.5,224
DsKlodzSzkol-PM10-1g,2026-08-31 18:00:00,5.5,224
DsKlodzSzkol-PM10-1g,2026-08-31 17:00:00,5.6,224
DsKlodzSzkol-PM10-1g,2026-08-31 16:00:00,6.2,224
DsKlodzSzkol-PM10-1g,2026-08-31 15:00:00,4.8,224
DsKlodzSzkol-PM10-1g,2026-08-31 14:00:00,4.7,224
DsKlodzSzkol-PM10-1g,2026-08-31 13:00:00,8.1,224
DsKlodzSzkol-PM10-1g,2026-08-31 12:00:00,13.6,224
DsKlodzSzkol-PM10-1g,2026-08-31 11:00:00,20.5,224
DsKlodzSzkol-PM10-1g,2026-08-31 10:00:00,24.9,224
DsKlodzSzkol-PM10-1g,2026-08-31 09:00:00,14.4,224
DsKlodzSzkol-PM10-1g,2026-08-31 08:00:00,14.5,224
DsKlodzSzkol-PM10-1g,2026-08-31 07:00:00,13.7,224
DsKlodzSzkol-PM10-1g,2026-08-31 06:00:00,9.9,224
DsKlodzSzkol-PM10-1g,2026-08-31 05:00:00,11.4,224
DsKlodzSzkol-PM2.5-1g,2026-09-01 00:00:00,6.1,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 23:00:00,6.1,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 22:00:00,5.8,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 21:00:00,4.6,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 20:00:00,3.9,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 19:00:00,3.7,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 18:00:00,3.4,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 17:00:00,3.6,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 16:00:00,4.2,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 15:00:00,3.1,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 14:00:00,2.9,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 13:00:00,5.1,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 12:00:00,7.3,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 11:00:00,9.9,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 10:00:00,12.7,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 09:00:00,7.6,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 08:00:00,6.8,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 07:00:00,6.4,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 06:00:00,5.8,25988
DsKlodzSzkol-PM2.5-1g,2026-08-31 05:00:00,6.7,25988
DsLegAlRzecz-C6H6-1g,2026-09-01 00:00:00,0.14,282
DsLegAlRzecz-C6H6-1g,2026-08-31 23:00:00,0.41,282
DsLegAlRzecz-C6H6-1g,2026-08-31 22:00:00,1.01,282
DsLegAlRzecz-C6H6-1g,2026-08-31 21:00:00,0.83,282
DsLegAlRzecz-C6H6-1g,2026-08-31 20:00:00,,282
DsLegAlRzecz-C6H6-1g,2026-08-31 19:00:00,0.17,282
DsLegAlRzecz-C6H6-1g,2026-08-31 18:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-08-31 17:00:00,0.17,282
DsLegAlRzecz-C6H6-1g,2026-08-31 16:00:00,0.18,282
DsLegAlRzecz-C6H6-1g,2026-08-31 15:00:00,0.13,282
DsLegAlRzecz-C6H6-1g,2026-08-31 14:00:00,0.08,282
DsLegAlRzecz-C6H6-1g,2026-08-31 13:00:00,0.2,282
DsLegAlRzecz-C6H6-1g,2026-08-31 12:00:00,0.32,282
DsLegAlRzecz-C6H6-1g,2026-08-31 11:00:00,0.26,282
DsLegAlRzecz-C6H6-1g,2026-08-31 10:00:00,0.23,282
DsLegAlRzecz-C6H6-1g,2026-08-31 09:00:00,0.23,282
DsLegAlRzecz-C6H6-1g,2026-08-31 08:00:00,0.19,282
DsLegAlRzecz-C6H6-1g,2026-08-31 07:00:00,0.28,282
DsLegAlRzecz-C6H6-1g,2026-08-31 06:00:00,0.15,282
DsLegAlRzecz-C6H6-1g,2026-08-31 05:00:00,0.35,282
DsLegAlRzecz-NO-1g,2026-09-01 00:00:00,0.1,290
DsLegAlRzecz-NO-1g,2026-08-31 23:00:00,0.8,290
DsLegAlRzecz-NO-1g,2026-08-31 22:00:00,3.7,290
DsLegAlRzecz-NO-1g,2026-08-31 21:00:00,12.9,290
DsLegAlRzecz-NO-1g,2026-08-31 20:00:00,1.6,290
DsLegAlRzecz-NO-1g,2026-08-31 19:00:00,1.3,290
DsLegAlRzecz-NO-1g,2026-08-31 18:00:00,1.2,290
DsLegAlRzecz-NO-1g,2026-08-31 17:00:00,1.5,290
DsLegAlRzecz-NO-1g,2026-08-31 16:00:00,1.5,290
DsLegAlRzecz-NO-1g,2026-08-31 15:00:00,1.6,290
DsLegAlRzecz-NO-1g,2026-08-31 14:00:00,1.8,290
DsLegAlRzecz-NO-1g,2026-08-31 13:00:00,1.3,290
DsLegAlRzecz-NO-1g,2026-08-31 12:00:00,7.2,290
DsLegAlRzecz-NO-1g,2026-08-31 11:00:00,9.2,290
DsLegAlRzecz-NO-1g,2026-08-31 10:00:00,4.2,290
DsLegAlRzecz-NO-1g,2026-08-31 09:00:00,4.0,290
DsLegAlRzecz-NO-1g,2026-08-31 08:00:00,5.9,290
DsLegAlRzecz-NO-1g,2026-08-31 07:00:00,5.7,290
DsLegAlRzecz-NO-1g,2026-08-31 06:00:00,2.2,290
DsLegAlRzecz-NO-1g,2026-08-31 05:00:00,1.7,290
DsLegAlRzecz-NO2-1g,2026-09-01 00:00:00,4.7,291
DsLegAlRzecz-NO2-1g,2026-08-31 23:00:00,14.3,291
DsLegAlRzecz-NO2-1g,2026-08-31 22:00:00,38.6,291
